MAC ADDRESS,GROUP ID,PRODUCT ID,DEVICE ID,NODE,IP ADDRESS,SUBNET MASK,COMMAND PORT,DATA PORT A,DATA PORT B,DATA PORT C,DATA PORT D,DATA PORT E
EC:64:C9:9F:1B:60,01,000,000,CLIENT,192.168.0.1,24,50000,50001,50002,50003,50004,50005
A0:DD:6C:69:C8:44,01,000,001,CLIENT,192.168.0.2,24,50000,50006,50007,50008,50009,50010
EC:64:C9:9F:14:3C,01,000,002,CLIENT,192.168.0.3,24,50000,50011,50012,50013,50014,50015
A0:DD:6C:69:CB:54,01,000,003,CLIENT,192.168.0.4,24,50000,50016,50017,50018,50019,50020
A0:DD:6C:69:C7:54,01,000,004,CLIENT,192.168.0.5,24,50000,50021,50022,50023,50024,50025
A0:DD:6C:69:CB:30,01,000,005,CLIENT,192.168.0.6,24,50000,50026,50027,50028,50029,50030
EC:64:C9:9F:14:F4,01,001,000,CLIENT,192.168.0.7,24,50000,50031,50032,50033,50034,50035
EC:64:C9:9F:1D:B0,01,001,001,CLIENT,192.168.0.8,24,50000,50036,50037,50038,50039,50040
EC:64:C9:9F:1A:60,01,001,002,CLIENT,192.168.0.9,24,50000,50041,50042,50043,50044,50045
EC:64:C9:9F:15:CC,01,001,003,CLIENT,192.168.0.10,24,50000,50046,50047,50048,50049,50050
A0:DD:6C:68:1E:0C,01,001,004,CLIENT,192.168.0.11,24,50000,50051,50052,50053,50054,50055
A0:DD:6C:69:C2:F0,01,001,005,CLIENT,192.168.0.12,24,50000,50056,50057,50058,50059,50060
EC:64:C9:9F:14:50,01,002,000,CLIENT,192.168.0.13,24,50000,50061,50062,50063,50064,50065
A0:DD:6C:69:C2:DC,01,002,001,CLIENT,192.168.0.14,24,50000,50066,50067,50068,50069,50070
EC:64:C9:9F:14:10,01,002,002,CLIENT,192.168.0.15,24,50000,50071,50072,50073,50074,50075
A0:DD:6C:69:CB:34,01,002,003,CLIENT,192.168.0.16,24,50000,50076,50077,50078,50079,50080
EC:64:C9:9F:11:B0,01,002,004,CLIENT,192.168.0.17,24,50000,50081,50082,50083,50084,50085
A0:DD:6C:68:8C:F8,01,002,005,CLIENT,192.168.0.18,24,50000,50086,50087,50088,50089,50090
A0:DD:6C:69:C4:40,01,003,000,CLIENT,192.168.0.19,24,50000,50091,50092,50093,50094,50095
A0:DD:6C:69:C3:18,01,003,001,CLIENT,192.168.0.20,24,50000,50096,50097,50098,50099,50100
A0:DD:6C:69:CB:CC,01,003,002,CLIENT,192.168.0.21,24,50000,50101,50102,50103,50104,50105
EC:64:C9:9F:0F:10,01,003,003,CLIENT,192.168.0.22,24,50000,50106,50107,50108,50109,50110
EC:64:C9:9F:0F:D4,01,003,004,CLIENT,192.168.0.23,24,50000,50111,50112,50113,50114,50115
A0:DD:6C:69:74:60,01,003,005,CLIENT,192.168.0.24,24,50000,50116,50117,50118,50119,50120
EC:64:C9:9F:0F:28,01,004,000,CLIENT,192.168.0.25,24,50000,50121,50122,50123,50124,50125
A0:DD:6C:69:C5:D8,01,004,001,CLIENT,192.168.0.26,24,50000,50126,50127,50128,50129,50130
A0:DD:6C:69:C9:54,01,004,002,CLIENT,192.168.0.27,24,50000,50131,50132,50133,50134,50135
A0:DD:6C:69:CB:D8,01,004,003,CLIENT,192.168.0.28,24,50000,50136,50137,50138,50139,50140
EC:64:C9:9F:11:28,01,004,004,CLIENT,192.168.0.29,24,50000,50141,50142,50143,50144,50145
EC:64:C9:9F:1C:C8,01,004,005,CLIENT,192.168.0.30,24,50000,50146,50147,50148,50149,50150
A0:DD:6C:69:59:E0,01,005,000,CLIENT,192.168.0.31,24,50000,50151,50152,50153,50154,50155
EC:64:C9:9F:16:CC,01,005,001,CLIENT,192.168.0.32,24,50000,50156,50157,50158,50159,50160
EC:64:C9:9F:17:E4,01,005,002,CLIENT,192.168.0.33,24,50000,50161,50162,50163,50164,50165
EC:64:C9:9F:13:14,01,005,003,CLIENT,192.168.0.34,24,50000,50166,50167,50168,50169,50170
EC:64:C9:9F:1D:C0,01,005,004,CLIENT,192.168.0.35,24,50000,50171,50172,50173,50174,50175
A0:DD:6C:69:CC:60,01,005,005,CLIENT,192.168.0.36,24,50000,50176,50177,50178,50179,50180
EC:64:C9:9F:0D:B0,01,000,000,HOST,192.168.0.248,24,50000,50001,50002,50003,50004,50005
EC:64:C9:9F:11:8C,01,000,000,HOST,192.168.0.249,24,50000,50001,50002,50003,50004,50005
EC:64:C9:9F:0D:C4,01,000,000,HOST,192.168.0.250,24,50000,50001,50002,50003,50004,50005
EC:64:C9:9F:13:30,01,000,000,HOST,192.168.0.251,24,50000,50001,50002,50003,50004,50005
EC:64:C9:9F:13:E0,01,000,000,HOST,192.168.0.252,24,50000,50001,50002,50003,50004,50005
A0:DD:6C:69:C9:38,01,000,000,HOST,192.168.0.253,24,50000,50001,50002,50003,50004,50005
