Device,Connector,Led,X,Y,Z,line,Type
0,0,0,6,146,0,0,0
0,0,1,6,143,0,0,0
0,0,2,6,140,0,0,0
0,0,3,6,137,0,0,0
0,0,4,6,134,0,0,0
0,0,5,6,131,0,0,0
0,0,6,6,128,0,0,0
0,0,7,6,125,0,0,0
0,0,8,6,122,0,0,0
0,0,9,6,119,0,0,0
0,0,10,6,116,0,0,0
0,0,11,6,113,0,0,0
0,0,12,6,110,0,0,0
0,0,13,6,107,0,0,0
0,0,14,6,104,0,0,0
0,0,15,6,101,0,0,0
0,0,16,6,98,0,0,0
0,0,17,6,95,0,0,0
0,0,18,6,92,0,0,0
0,0,19,6,89,0,0,0
0,0,20,6,86,0,0,0
0,0,21,6,83,0,0,0
0,0,22,6,80,0,0,0
0,0,23,6,77,0,0,0
0,0,24,6,74,0,0,0
0,0,25,6,71,0,0,0
0,0,26,6,68,0,0,0
0,0,27,6,65,0,0,0
0,0,28,6,62,0,0,0
0,0,29,6,59,0,0,0
0,0,30,6,56,0,0,0
0,0,31,6,53,0,0,0
0,0,32,6,50,0,0,0
0,0,33,6,47,0,0,0
0,0,34,4968,-4806,0,0,0
0,0,35,9,47,0,0,0
0,0,36,9,50,0,0,0
0,0,37,9,53,0,0,0
0,0,38,9,56,0,0,0
0,0,39,9,59,0,0,0
0,0,40,9,62,0,0,0
0,0,41,9,65,0,0,0
0,0,42,9,68,0,0,0
0,0,43,9,71,0,0,0
0,0,44,9,74,0,0,0
0,0,45,9,77,0,0,0
0,0,46,9,80,0,0,0
0,0,47,9,83,0,0,0
0,0,48,9,86,0,0,0
0,0,49,9,89,0,0,0
0,0,50,9,92,0,0,0
0,0,51,9,95,0,0,0
0,0,52,9,98,0,0,0
0,0,53,9,101,0,0,0
0,0,54,9,104,0,0,0
0,0,55,9,107,0,0,0
0,0,56,9,110,0,0,0
0,0,57,9,113,0,0,0
0,0,58,9,116,0,0,0
0,0,59,9,119,0,0,0
0,0,60,9,122,0,0,0
0,0,61,9,125,0,0,0
0,0,62,9,128,0,0,0
0,0,63,9,131,0,0,0
0,0,64,9,134,0,0,0
0,0,65,9,137,0,0,0
0,0,66,9,140,0,0,0
0,0,67,9,143,0,0,0
0,0,68,9,146,0,0,0
0,0,69,4968,-4806,0,0,0
0,0,70,12,146,0,0,0
0,0,71,12,143,0,0,0
0,0,72,12,140,0,0,0
0,0,73,12,137,0,0,0
0,0,74,12,134,0,0,0
0,0,75,12,131,0,0,0
0,0,76,12,128,0,0,0
0,0,77,12,125,0,0,0
0,0,78,12,122,0,0,0
0,0,79,12,119,0,0,0
0,0,80,12,116,0,0,0
0,0,81,12,113,0,0,0
0,0,82,12,110,0,0,0
0,0,83,12,107,0,0,0
0,0,84,12,104,0,0,0
0,0,85,12,101,0,0,0
0,0,86,12,98,0,0,0
0,0,87,12,95,0,0,0
0,0,88,12,92,0,0,0
0,0,89,12,89,0,0,0
0,0,90,12,86,0,0,0
0,0,91,12,83,0,0,0
0,0,92,12,80,0,0,0
0,0,93,12,77,0,0,0
0,0,94,12,74,0,0,0
0,0,95,12,71,0,0,0
0,0,96,12,68,0,0,0
0,0,97,12,65,0,0,0
0,0,98,12,62,0,0,0
0,0,99,12,59,0,0,0
0,0,100,12,56,0,0,0
0,0,101,12,53,0,0,0
0,0,102,12,50,0,0,0
0,0,103,12,47,0,0,0
0,0,104,15,47,0,0,0
0,0,105,15,50,0,0,0
0,0,106,15,53,0,0,0
0,0,107,15,56,0,0,0
0,0,108,15,59,0,0,0
0,0,109,15,62,0,0,0
0,0,110,15,65,0,0,0
0,0,111,15,68,0,0,0
0,0,112,15,71,0,0,0
0,0,113,15,74,0,0,0
0,0,114,15,77,0,0,0
0,0,115,15,80,0,0,0
0,0,116,15,83,0,0,0
0,0,117,15,86,0,0,0
0,0,118,15,89,0,0,0
0,0,119,15,92,0,0,0
0,0,120,15,95,0,0,0
0,0,121,15,98,0,0,0
0,0,122,15,101,0,0,0
0,0,123,15,104,0,0,0
0,0,124,15,107,0,0,0
0,0,125,15,110,0,0,0
0,0,126,15,113,0,0,0
0,0,127,15,116,0,0,0
0,0,128,15,119,0,0,0
0,0,129,15,122,0,0,0
0,0,130,15,125,0,0,0
0,0,131,15,128,0,0,0
0,0,132,15,131,0,0,0
0,0,133,15,134,0,0,0
0,0,134,15,137,0,0,0
0,0,135,15,140,0,0,0
0,0,136,15,143,0,0,0
0,0,137,15,146,0,0,0
0,0,138,4968,-4806,0,0,0
0,0,139,18,146,0,0,0
0,0,140,18,143,0,0,0
0,0,141,18,140,0,0,0
0,0,142,18,137,0,0,0
0,0,143,18,134,0,0,0
0,0,144,18,131,0,0,0
0,0,145,18,128,0,0,0
0,0,146,18,125,0,0,0
0,0,147,18,122,0,0,0
0,0,148,18,119,0,0,0
0,0,149,18,116,0,0,0
0,0,150,18,113,0,0,0
0,0,151,18,110,0,0,0
0,0,152,18,107,0,0,0
0,0,153,18,104,0,0,0
0,0,154,18,101,0,0,0
0,0,155,18,98,0,0,0
0,0,156,18,95,0,0,0
0,0,157,18,92,0,0,0
0,0,158,18,89,0,0,0
0,0,159,18,86,0,0,0
0,0,160,18,83,0,0,0
0,0,161,18,80,0,0,0
0,0,162,18,77,0,0,0
0,0,163,18,74,0,0,0
0,0,164,18,71,0,0,0
0,0,165,18,68,0,0,0
0,0,166,18,65,0,0,0
0,0,167,18,62,0,0,0
0,0,168,18,59,0,0,0
0,0,169,18,56,0,0,0
0,0,170,18,53,0,0,0
0,0,171,18,50,0,0,0
0,0,172,18,47,0,0,0
0,0,173,4968,-4806,0,0,0
0,0,174,21,47,0,0,0
0,0,175,21,50,0,0,0
0,0,176,21,53,0,0,0
0,0,177,21,56,0,0,0
0,0,178,21,59,0,0,0
0,0,179,21,62,0,0,0
0,0,180,21,65,0,0,0
0,0,181,21,68,0,0,0
0,0,182,21,71,0,0,0
0,0,183,21,74,0,0,0
0,0,184,21,77,0,0,0
0,0,185,21,80,0,0,0
0,0,186,21,83,0,0,0
0,0,187,21,86,0,0,0
0,0,188,21,89,0,0,0
0,0,189,21,92,0,0,0
0,0,190,21,95,0,0,0
0,0,191,21,98,0,0,0
0,0,192,21,101,0,0,0
0,0,193,21,104,0,0,0
0,0,194,21,107,0,0,0
0,0,195,21,110,0,0,0
0,0,196,21,113,0,0,0
0,0,197,21,116,0,0,0
0,0,198,21,119,0,0,0
0,0,199,21,122,0,0,0
0,0,200,21,125,0,0,0
0,0,201,21,128,0,0,0
0,0,202,21,131,0,0,0
0,0,203,21,134,0,0,0
0,0,204,21,137,0,0,0
0,0,205,21,140,0,0,0
0,0,206,21,143,0,0,0
0,0,207,21,146,0,0,0
0,1,0,24,146,0,1,0
0,1,1,24,143,0,1,0
0,1,2,24,140,0,1,0
0,1,3,24,137,0,1,0
0,1,4,24,134,0,1,0
0,1,5,24,131,0,1,0
0,1,6,24,128,0,1,0
0,1,7,24,125,0,1,0
0,1,8,24,122,0,1,0
0,1,9,24,119,0,1,0
0,1,10,24,116,0,1,0
0,1,11,24,113,0,1,0
0,1,12,24,110,0,1,0
0,1,13,24,107,0,1,0
0,1,14,24,104,0,1,0
0,1,15,24,101,0,1,0
0,1,16,24,98,0,1,0
0,1,17,24,95,0,1,0
0,1,18,24,92,0,1,0
0,1,19,24,89,0,1,0
0,1,20,24,86,0,1,0
0,1,21,24,83,0,1,0
0,1,22,24,80,0,1,0
0,1,23,24,77,0,1,0
0,1,24,24,74,0,1,0
0,1,25,24,71,0,1,0
0,1,26,24,68,0,1,0
0,1,27,24,65,0,1,0
0,1,28,24,62,0,1,0
0,1,29,24,59,0,1,0
0,1,30,24,56,0,1,0
0,1,31,24,53,0,1,0
0,1,32,24,50,0,1,0
0,1,33,24,47,0,1,0
0,1,34,4986,-4806,0,1,0
0,1,35,27,47,0,1,0
0,1,36,27,50,0,1,0
0,1,37,27,53,0,1,0
0,1,38,27,56,0,1,0
0,1,39,27,59,0,1,0
0,1,40,27,62,0,1,0
0,1,41,27,65,0,1,0
0,1,42,27,68,0,1,0
0,1,43,27,71,0,1,0
0,1,44,27,74,0,1,0
0,1,45,27,77,0,1,0
0,1,46,27,80,0,1,0
0,1,47,27,83,0,1,0
0,1,48,27,86,0,1,0
0,1,49,27,89,0,1,0
0,1,50,27,92,0,1,0
0,1,51,27,95,0,1,0
0,1,52,27,98,0,1,0
0,1,53,27,101,0,1,0
0,1,54,27,104,0,1,0
0,1,55,27,107,0,1,0
0,1,56,27,110,0,1,0
0,1,57,27,113,0,1,0
0,1,58,27,116,0,1,0
0,1,59,27,119,0,1,0
0,1,60,27,122,0,1,0
0,1,61,27,125,0,1,0
0,1,62,27,128,0,1,0
0,1,63,27,131,0,1,0
0,1,64,27,134,0,1,0
0,1,65,27,137,0,1,0
0,1,66,27,140,0,1,0
0,1,67,27,143,0,1,0
0,1,68,27,146,0,1,0
0,1,69,4986,-4806,0,1,0
0,1,70,30,146,0,1,0
0,1,71,30,143,0,1,0
0,1,72,30,140,0,1,0
0,1,73,30,137,0,1,0
0,1,74,30,134,0,1,0
0,1,75,30,131,0,1,0
0,1,76,30,128,0,1,0
0,1,77,30,125,0,1,0
0,1,78,30,122,0,1,0
0,1,79,30,119,0,1,0
0,1,80,30,116,0,1,0
0,1,81,30,113,0,1,0
0,1,82,30,110,0,1,0
0,1,83,30,107,0,1,0
0,1,84,30,104,0,1,0
0,1,85,30,101,0,1,0
0,1,86,30,98,0,1,0
0,1,87,30,95,0,1,0
0,1,88,30,92,0,1,0
0,1,89,30,89,0,1,0
0,1,90,30,86,0,1,0
0,1,91,30,83,0,1,0
0,1,92,30,80,0,1,0
0,1,93,30,77,0,1,0
0,1,94,30,74,0,1,0
0,1,95,30,71,0,1,0
0,1,96,30,68,0,1,0
0,1,97,30,65,0,1,0
0,1,98,30,62,0,1,0
0,1,99,30,59,0,1,0
0,1,100,30,56,0,1,0
0,1,101,30,53,0,1,0
0,1,102,30,50,0,1,0
0,1,103,30,47,0,1,0
0,1,104,33,47,0,1,0
0,1,105,33,50,0,1,0
0,1,106,33,53,0,1,0
0,1,107,33,56,0,1,0
0,1,108,33,59,0,1,0
0,1,109,33,62,0,1,0
0,1,110,33,65,0,1,0
0,1,111,33,68,0,1,0
0,1,112,33,71,0,1,0
0,1,113,33,74,0,1,0
0,1,114,33,77,0,1,0
0,1,115,33,80,0,1,0
0,1,116,33,83,0,1,0
0,1,117,33,86,0,1,0
0,1,118,33,89,0,1,0
0,1,119,33,92,0,1,0
0,1,120,33,95,0,1,0
0,1,121,33,98,0,1,0
0,1,122,33,101,0,1,0
0,1,123,33,104,0,1,0
0,1,124,33,107,0,1,0
0,1,125,33,110,0,1,0
0,1,126,33,113,0,1,0
0,1,127,33,116,0,1,0
0,1,128,33,119,0,1,0
0,1,129,33,122,0,1,0
0,1,130,33,125,0,1,0
0,1,131,33,128,0,1,0
0,1,132,33,131,0,1,0
0,1,133,33,134,0,1,0
0,1,134,33,137,0,1,0
0,1,135,33,140,0,1,0
0,1,136,33,143,0,1,0
0,1,137,33,146,0,1,0
0,1,138,4986,-4806,0,1,0
0,1,139,36,146,0,1,0
0,1,140,36,143,0,1,0
0,1,141,36,140,0,1,0
0,1,142,36,137,0,1,0
0,1,143,36,134,0,1,0
0,1,144,36,131,0,1,0
0,1,145,36,128,0,1,0
0,1,146,36,125,0,1,0
0,1,147,36,122,0,1,0
0,1,148,36,119,0,1,0
0,1,149,36,116,0,1,0
0,1,150,36,113,0,1,0
0,1,151,36,110,0,1,0
0,1,152,36,107,0,1,0
0,1,153,36,104,0,1,0
0,1,154,36,101,0,1,0
0,1,155,36,98,0,1,0
0,1,156,36,95,0,1,0
0,1,157,36,92,0,1,0
0,1,158,36,89,0,1,0
0,1,159,36,86,0,1,0
0,1,160,36,83,0,1,0
0,1,161,36,80,0,1,0
0,1,162,36,77,0,1,0
0,1,163,36,74,0,1,0
0,1,164,36,71,0,1,0
0,1,165,36,68,0,1,0
0,1,166,36,65,0,1,0
0,1,167,36,62,0,1,0
0,1,168,36,59,0,1,0
0,1,169,36,56,0,1,0
0,1,170,36,53,0,1,0
0,1,171,36,50,0,1,0
0,1,172,36,47,0,1,0
0,1,173,4986,-4806,0,1,0
0,1,174,39,47,0,1,0
0,1,175,39,50,0,1,0
0,1,176,39,53,0,1,0
0,1,177,39,56,0,1,0
0,1,178,39,59,0,1,0
0,1,179,39,62,0,1,0
0,1,180,39,65,0,1,0
0,1,181,39,68,0,1,0
0,1,182,39,71,0,1,0
0,1,183,39,74,0,1,0
0,1,184,39,77,0,1,0
0,1,185,39,80,0,1,0
0,1,186,39,83,0,1,0
0,1,187,39,86,0,1,0
0,1,188,39,89,0,1,0
0,1,189,39,92,0,1,0
0,1,190,39,95,0,1,0
0,1,191,39,98,0,1,0
0,1,192,39,101,0,1,0
0,1,193,39,104,0,1,0
0,1,194,39,107,0,1,0
0,1,195,39,110,0,1,0
0,1,196,39,113,0,1,0
0,1,197,39,116,0,1,0
0,1,198,39,119,0,1,0
0,1,199,39,122,0,1,0
