Device,Connector,Led,X,Y,Z,line,Type
0,0,0,17,45,0,0,0
0,0,1,17,48,0,0,0
0,0,2,17,51,0,0,0
0,0,3,17,54,0,0,0
0,0,4,17,57,0,0,0
0,0,5,17,60,0,0,0
0,0,6,17,63,0,0,0
0,0,7,17,66,0,0,0
0,0,8,17,69,0,0,0
0,0,9,17,72,0,0,0
0,0,10,17,75,0,0,0
0,0,11,17,78,0,0,0
0,0,12,17,81,0,0,0
0,0,13,17,84,0,0,0
0,0,14,17,87,0,0,0
0,0,15,20,87,0,0,0
0,0,16,20,84,0,0,0
0,0,17,20,81,0,0,0
0,0,18,20,78,0,0,0
0,0,19,20,75,0,0,0
0,0,20,20,72,0,0,0
0,0,21,20,69,0,0,0
0,0,22,20,66,0,0,0
0,0,23,20,63,0,0,0
0,0,24,20,60,0,0,0
0,0,25,20,57,0,0,0
0,0,26,20,54,0,0,0
0,0,27,20,51,0,0,0
0,0,28,20,48,0,0,0
0,0,29,20,45,0,0,0
0,0,30,23,45,0,0,0
0,0,31,23,48,0,0,0
0,0,32,23,51,0,0,0
0,0,33,23,54,0,0,0
0,0,34,23,57,0,0,0
0,0,35,23,60,0,0,0
0,0,36,23,63,0,0,0
0,0,37,23,66,0,0,0
0,0,38,23,69,0,0,0
0,0,39,23,72,0,0,0
0,0,40,23,75,0,0,0
0,0,41,23,78,0,0,0
0,0,42,23,81,0,0,0
0,0,43,23,84,0,0,0
0,0,44,23,87,0,0,0
0,0,45,26,87,0,0,0
0,0,46,26,84,0,0,0
0,0,47,26,81,0,0,0
0,0,48,26,78,0,0,0
0,0,49,26,75,0,0,0
0,0,50,26,72,0,0,0
0,0,51,26,69,0,0,0
0,0,52,26,66,0,0,0
0,0,53,26,63,0,0,0
0,0,54,26,60,0,0,0
0,0,55,26,57,0,0,0
0,0,56,26,54,0,0,0
0,0,57,26,51,0,0,0
0,0,58,26,48,0,0,0
0,0,59,26,45,0,0,0
0,0,60,29,45,0,0,0
0,0,61,29,48,0,0,0
0,0,62,29,51,0,0,0
0,0,63,29,54,0,0,0
0,0,64,29,57,0,0,0
0,0,65,29,60,0,0,0
0,0,66,29,63,0,0,0
0,0,67,29,66,0,0,0
0,0,68,29,69,0,0,0
0,0,69,29,72,0,0,0
0,0,70,29,75,0,0,0
0,0,71,29,78,0,0,0
0,0,72,29,81,0,0,0
0,0,73,29,84,0,0,0
0,0,74,29,87,0,0,0
0,0,75,32,87,0,0,0
0,0,76,32,84,0,0,0
0,0,77,32,81,0,0,0
0,0,78,32,78,0,0,0
0,0,79,32,75,0,0,0
0,0,80,32,72,0,0,0
0,0,81,32,69,0,0,0
0,0,82,32,66,0,0,0
0,0,83,32,63,0,0,0
0,0,84,32,60,0,0,0
0,0,85,32,57,0,0,0
0,0,86,32,54,0,0,0
0,0,87,32,51,0,0,0
0,0,88,32,48,0,0,0
0,0,89,32,45,0,0,0
0,0,90,35,45,0,0,0
0,0,91,35,48,0,0,0
0,0,92,35,51,0,0,0
0,0,93,35,54,0,0,0
0,0,94,35,57,0,0,0
0,0,95,35,60,0,0,0
0,0,96,35,63,0,0,0
0,0,97,35,66,0,0,0
0,0,98,35,69,0,0,0
0,0,99,35,72,0,0,0
0,0,100,35,75,0,0,0
0,0,101,35,78,0,0,0
0,0,102,35,81,0,0,0
0,0,103,35,84,0,0,0
0,0,104,35,87,0,0,0
0,0,105,38,87,0,0,0
0,0,106,38,84,0,0,0
0,0,107,38,81,0,0,0
0,0,108,38,78,0,0,0
0,0,109,38,75,0,0,0
0,0,110,38,72,0,0,0
0,0,111,38,69,0,0,0
0,0,112,38,66,0,0,0
0,0,113,38,63,0,0,0
0,0,114,38,60,0,0,0
0,0,115,38,57,0,0,0
0,0,116,38,54,0,0,0
0,0,117,38,51,0,0,0
0,0,118,38,48,0,0,0
0,0,119,38,45,0,0,0
