Device,Connector,Led,X,Y,Z,line,Type
0,0,0,323,436,0,130,0
0,0,1,320,436,0,130,0
0,0,2,317,437,0,130,0
0,0,3,314,438,0,130,0
0,0,4,311,438,0,130,0
0,0,5,308,439,0,130,0
0,0,6,305,440,0,130,0
0,0,7,302,441,0,130,0
0,0,8,299,441,0,130,0
0,0,9,296,442,0,130,0
0,0,10,293,443,0,130,0
0,0,11,290,443,0,130,0
0,0,12,288,444,0,130,0
0,0,13,285,445,0,130,0
0,0,14,282,446,0,130,0
0,0,15,279,446,0,130,0
0,0,16,276,447,0,130,0
0,0,17,273,448,0,130,0
0,0,18,270,449,0,130,0
0,0,19,267,449,0,130,0
0,0,20,264,450,0,130,0
0,0,21,261,451,0,130,0
0,0,22,258,451,0,130,0
0,0,23,256,452,0,130,0
0,0,24,157,540,0,130,0
0,0,25,255,449,0,130,0
0,0,26,258,449,0,130,0
0,0,27,261,448,0,130,0
0,0,28,264,447,0,130,0
0,0,29,266,446,0,130,0
0,0,30,269,446,0,130,0
0,0,31,272,445,0,130,0
0,0,32,275,444,0,130,0
0,0,33,278,443,0,130,0
0,0,34,281,443,0,130,0
0,0,35,284,442,0,130,0
0,0,36,287,441,0,130,0
0,0,37,290,441,0,130,0
0,0,38,293,440,0,130,0
0,0,39,296,439,0,130,0
0,0,40,298,438,0,130,0
0,0,41,301,438,0,130,0
0,0,42,304,437,0,130,0
0,0,43,307,436,0,130,0
0,0,44,310,435,0,130,0
0,0,45,313,435,0,130,0
0,0,46,155,540,0,130,0
0,0,47,156,543,0,130,0
0,0,48,156,546,0,130,0
0,0,49,304,434,0,130,0
0,0,50,301,435,0,130,0
0,0,51,298,435,0,130,0
0,0,52,295,436,0,130,0
0,0,53,292,437,0,130,0
0,0,54,289,438,0,130,0
0,0,55,286,438,0,130,0
0,0,56,283,439,0,130,0
0,0,57,280,440,0,130,0
0,0,58,277,441,0,130,0
0,0,59,274,441,0,130,0
0,0,60,272,442,0,130,0
0,0,61,269,443,0,130,0
0,0,62,266,443,0,130,0
0,0,63,263,444,0,130,0
0,0,64,260,445,0,130,0
0,0,65,257,446,0,130,0
0,0,66,158,543,0,130,0
0,0,67,256,443,0,130,0
0,0,68,259,442,0,130,0
0,0,69,262,441,0,130,0
0,0,70,265,441,0,130,0
0,0,71,268,440,0,130,0
0,0,72,271,439,0,130,0
0,0,73,274,438,0,130,0
0,0,74,277,438,0,130,0
0,0,75,280,437,0,130,0
0,0,76,282,436,0,130,0
0,0,77,285,435,0,130,0
0,0,78,288,435,0,130,0
0,0,79,291,434,0,130,0
0,0,80,294,433,0,130,0
0,0,81,155,541,0,130,0
0,0,82,156,544,0,130,0
0,0,83,157,547,0,130,0
0,0,84,285,433,0,130,0
0,0,85,282,433,0,130,0
0,0,86,279,434,0,130,0
0,0,87,276,435,0,130,0
0,0,88,273,435,0,130,0
0,0,89,270,436,0,130,0
0,0,90,267,437,0,130,0
0,0,91,264,438,0,130,0
0,0,92,261,438,0,130,0
0,0,93,258,439,0,130,0
0,0,94,256,440,0,130,0
0,0,95,157,547,0,130,0
0,0,96,258,436,0,130,0
0,0,97,261,435,0,130,0
0,0,98,264,435,0,130,0
0,0,99,266,434,0,130,0
0,0,100,269,433,0,130,0
0,0,101,272,433,0,130,0
0,0,102,275,432,0,130,0
0,0,103,155,541,0,130,0
0,0,104,156,544,0,130,0
0,0,105,157,547,0,130,0
0,0,106,266,431,0,130,0
0,0,107,263,432,0,130,0
0,0,108,260,433,0,130,0
0,0,109,257,433,0,130,0
0,0,110,158,543,0,130,0
0,0,111,256,430,0,130,0
0,0,112,259,430,0,130,0
0,1,0,342,452,0,130,0
0,1,1,339,453,0,130,0
0,1,2,336,454,0,130,0
0,1,3,333,454,0,130,0
0,1,4,330,455,0,130,0
0,1,5,328,456,0,130,0
0,1,6,325,457,0,130,0
0,1,7,322,457,0,130,0
0,1,8,319,458,0,130,0
0,1,9,316,459,0,130,0
0,1,10,313,460,0,130,0
0,1,11,310,460,0,130,0
0,1,12,307,461,0,130,0
0,1,13,304,462,0,130,0
0,1,14,301,462,0,130,0
0,1,15,298,463,0,130,0
0,1,16,296,464,0,130,0
0,1,17,293,465,0,130,0
0,1,18,290,465,0,130,0
0,1,19,287,466,0,130,0
0,1,20,284,467,0,130,0
0,1,21,281,467,0,130,0
0,1,22,278,468,0,130,0
0,1,23,275,469,0,130,0
0,1,24,272,470,0,130,0
0,1,25,269,470,0,130,0
0,1,26,266,471,0,130,0
0,1,27,264,472,0,130,0
0,1,28,261,473,0,130,0
0,1,29,258,473,0,130,0
0,1,30,158,546,0,130,0
0,1,31,257,470,0,130,0
0,1,32,260,470,0,130,0
0,1,33,263,469,0,130,0
0,1,34,266,468,0,130,0
0,1,35,269,467,0,130,0
0,1,36,272,467,0,130,0
0,1,37,274,466,0,130,0
0,1,38,277,465,0,130,0
0,1,39,280,465,0,130,0
0,1,40,283,464,0,130,0
0,1,41,286,463,0,130,0
0,1,42,289,462,0,130,0
0,1,43,292,462,0,130,0
0,1,44,295,461,0,130,0
0,1,45,298,460,0,130,0
0,1,46,301,459,0,130,0
0,1,47,304,459,0,130,0
0,1,48,306,458,0,130,0
0,1,49,309,457,0,130,0
0,1,50,312,457,0,130,0
0,1,51,315,456,0,130,0
0,1,52,318,455,0,130,0
0,1,53,321,454,0,130,0
0,1,54,324,454,0,130,0
0,1,55,327,453,0,130,0
