Device,Connector,Led,X,Y,Z,line,Type
0,0,0,30,93,0,0,0
0,0,1,30,94,0,0,0
0,0,2,30,95,0,0,0
0,0,3,30,96,0,0,0
0,0,4,30,97,0,0,0
0,0,5,30,98,0,0,0
0,0,6,30,99,0,0,0
0,0,7,30,100,0,0,0
0,0,8,30,101,0,0,0
0,0,9,30,102,0,0,0
0,0,10,30,103,0,0,0
0,0,11,30,104,0,0,0
0,0,12,30,105,0,0,0
0,0,13,30,106,0,0,0
0,0,14,30,107,0,0,0
0,0,15,30,108,0,0,0
0,0,16,31,108,0,0,0
0,0,17,31,107,0,0,0
0,0,18,31,106,0,0,0
0,0,19,31,105,0,0,0
0,0,20,31,104,0,0,0
0,0,21,31,103,0,0,0
0,0,22,31,102,0,0,0
0,0,23,31,101,0,0,0
0,0,24,31,100,0,0,0
0,0,25,31,99,0,0,0
0,0,26,31,98,0,0,0
0,0,27,31,97,0,0,0
0,0,28,31,96,0,0,0
0,0,29,31,95,0,0,0
0,0,30,31,94,0,0,0
0,0,31,31,93,0,0,0
0,0,32,32,93,0,0,0
0,0,33,32,94,0,0,0
0,0,34,32,95,0,0,0
0,0,35,32,96,0,0,0
0,0,36,32,97,0,0,0
0,0,37,32,98,0,0,0
0,0,38,32,99,0,0,0
0,0,39,32,100,0,0,0
0,0,40,32,101,0,0,0
0,0,41,32,102,0,0,0
0,0,42,32,103,0,0,0
0,0,43,32,104,0,0,0
0,0,44,32,105,0,0,0
0,0,45,32,106,0,0,0
0,0,46,32,107,0,0,0
0,0,47,32,108,0,0,0
0,0,48,33,108,0,0,0
0,0,49,33,107,0,0,0
0,0,50,33,106,0,0,0
0,0,51,33,105,0,0,0
0,0,52,33,104,0,0,0
0,0,53,33,103,0,0,0
0,0,54,33,102,0,0,0
0,0,55,33,101,0,0,0
0,0,56,33,100,0,0,0
0,0,57,33,99,0,0,0
0,0,58,33,98,0,0,0
0,0,59,33,97,0,0,0
0,0,60,33,96,0,0,0
0,0,61,33,95,0,0,0
0,0,62,33,94,0,0,0
0,0,63,33,93,0,0,0
0,0,64,34,93,0,0,0
