Device,Connector,Led,X,Y,Z,line,Type
0,0,0,6,42,0,0,0
0,0,1,6,45,0,0,0
0,0,2,6,48,0,0,0
0,0,3,6,51,0,0,0
0,0,4,6,54,0,0,0
0,0,5,6,57,0,0,0
0,0,6,6,60,0,0,0
0,0,7,6,63,0,0,0
0,0,8,6,66,0,0,0
0,0,9,6,69,0,0,0
0,0,10,6,72,0,0,0
0,0,11,6,75,0,0,0
0,0,12,6,78,0,0,0
0,0,13,6,81,0,0,0
0,0,14,6,84,0,0,0
0,0,15,6,87,0,0,0
0,0,16,6,90,0,0,0
0,0,17,6,93,0,0,0
0,0,18,6,96,0,0,0
0,0,19,6,99,0,0,0
0,0,20,6,102,0,0,0
0,0,21,6,105,0,0,0
0,0,22,6,108,0,0,0
0,0,23,6,111,0,0,0
0,0,24,6,114,0,0,0
0,0,25,6,117,0,0,0
0,0,26,6,120,0,0,0
0,0,27,6,123,0,0,0
0,0,28,6,126,0,0,0
0,0,29,6,129,0,0,0
0,0,30,6,132,0,0,0
0,0,31,6,135,0,0,0
0,0,32,6,138,0,0,0
0,0,33,6,141,0,0,0
0,0,34,6,144,0,0,0
0,0,35,6,147,0,0,0
0,0,36,6,150,0,0,0
0,0,37,6,153,0,0,0
0,0,38,6,156,0,0,0
0,0,39,6,159,0,0,0
0,0,40,6,162,0,0,0
0,0,41,6,165,0,0,0
0,0,42,6,168,0,0,0
0,0,43,6,171,0,0,0
0,0,44,6,174,0,0,0
0,0,45,6,177,0,0,0
0,0,46,6,180,0,0,0
0,0,47,6,183,0,0,0
0,0,48,6,186,0,0,0
0,0,49,6,189,0,0,0
0,0,50,6,192,0,0,0
0,0,51,6,195,0,0,0
0,0,52,6,198,0,0,0
0,0,53,6,201,0,0,0
0,0,54,6,204,0,0,0
0,0,55,6,207,0,0,0
0,0,56,6,210,0,0,0
0,0,57,6,213,0,0,0
0,0,58,6,216,0,0,0
0,0,59,6,219,0,0,0
0,0,60,6,222,0,0,0
0,0,61,6,225,0,0,0
0,0,62,6,228,0,0,0
0,0,63,6,231,0,0,0
0,0,64,6,234,0,0,0
0,0,65,6,237,0,0,0
0,0,66,6,240,0,0,0
0,0,67,6,243,0,0,0
0,0,68,6,246,0,0,0
0,0,69,6,249,0,0,0
0,0,70,6,252,0,0,0
0,0,71,6,255,0,0,0
0,0,72,6,258,0,0,0
0,0,73,6,261,0,0,0
0,0,74,6,264,0,0,0
0,0,75,6,267,0,0,0
0,0,76,6,270,0,0,0
0,0,77,6,273,0,0,0
0,0,78,6,276,0,0,0
0,0,79,6,279,0,0,0
0,0,80,6,282,0,0,0
0,0,81,6,285,0,0,0
0,0,82,6,288,0,0,0
0,0,83,6,291,0,0,0
0,0,84,6,294,0,0,0
0,0,85,6,297,0,0,0
0,0,86,6,300,0,0,0
0,0,87,6,303,0,0,0
0,0,88,6,306,0,0,0
0,0,89,6,309,0,0,0
0,0,90,6,312,0,0,0
0,0,91,6,315,0,0,0
0,1,0,6,42,0,0,0
0,1,1,6,45,0,0,0
0,1,2,6,48,0,0,0
0,1,3,6,51,0,0,0
0,1,4,6,54,0,0,0
0,1,5,6,57,0,0,0
0,1,6,6,60,0,0,0
0,1,7,6,63,0,0,0
0,1,8,6,66,0,0,0
0,1,9,6,69,0,0,0
0,1,10,6,72,0,0,0
0,1,11,6,75,0,0,0
0,1,12,6,78,0,0,0
0,1,13,6,81,0,0,0
0,1,14,6,84,0,0,0
0,1,15,6,87,0,0,0
0,1,16,6,90,0,0,0
0,1,17,6,93,0,0,0
0,1,18,6,96,0,0,0
0,1,19,6,99,0,0,0
0,1,20,6,102,0,0,0
0,1,21,6,105,0,0,0
0,1,22,6,108,0,0,0
0,1,23,6,111,0,0,0
0,1,24,6,114,0,0,0
0,1,25,6,117,0,0,0
0,1,26,6,120,0,0,0
0,1,27,6,123,0,0,0
0,1,28,6,126,0,0,0
0,1,29,6,129,0,0,0
0,1,30,6,132,0,0,0
0,1,31,6,135,0,0,0
0,1,32,6,138,0,0,0
0,1,33,6,141,0,0,0
0,1,34,6,144,0,0,0
0,1,35,6,147,0,0,0
0,1,36,6,150,0,0,0
0,1,37,6,153,0,0,0
0,1,38,6,156,0,0,0
0,1,39,6,159,0,0,0
0,1,40,6,162,0,0,0
0,1,41,6,165,0,0,0
0,1,42,6,168,0,0,0
0,1,43,6,171,0,0,0
0,1,44,6,174,0,0,0
0,1,45,6,177,0,0,0
0,1,46,6,180,0,0,0
0,1,47,6,183,0,0,0
0,1,48,6,186,0,0,0
0,1,49,6,189,0,0,0
0,1,50,6,192,0,0,0
0,1,51,6,195,0,0,0
0,1,52,6,198,0,0,0
0,1,53,6,201,0,0,0
0,1,54,6,204,0,0,0
0,1,55,6,207,0,0,0
0,1,56,6,210,0,0,0
0,1,57,6,213,0,0,0
0,1,58,6,216,0,0,0
0,1,59,6,219,0,0,0
0,1,60,6,222,0,0,0
0,1,61,6,225,0,0,0
0,1,62,6,228,0,0,0
0,1,63,6,231,0,0,0
0,1,64,6,234,0,0,0
0,1,65,6,237,0,0,0
0,1,66,6,240,0,0,0
0,1,67,6,243,0,0,0
0,1,68,6,246,0,0,0
0,1,69,6,249,0,0,0
0,1,70,6,252,0,0,0
0,1,71,6,255,0,0,0
0,1,72,6,258,0,0,0
0,1,73,6,261,0,0,0
0,1,74,6,264,0,0,0
0,1,75,6,267,0,0,0
0,1,76,6,270,0,0,0
0,1,77,6,273,0,0,0
0,1,78,6,276,0,0,0
0,1,79,6,279,0,0,0
0,1,80,6,282,0,0,0
0,1,81,6,285,0,0,0
0,1,82,6,288,0,0,0
0,1,83,6,291,0,0,0
0,1,84,6,294,0,0,0
0,1,85,6,297,0,0,0
0,1,86,6,300,0,0,0
0,1,87,6,303,0,0,0
0,1,88,6,306,0,0,0
0,1,89,6,309,0,0,0
0,1,90,6,312,0,0,0
0,1,91,6,315,0,0,0
