Device,Connector,Led,X,Y,Z,line,Type
0,0,0,74,49,0,0,0
0,0,1,74,52,0,0,0
0,0,2,74,55,0,0,0
0,0,3,74,58,0,0,0
0,0,4,74,61,0,0,0
0,0,5,74,64,0,0,0
0,0,6,74,67,0,0,0
0,0,7,74,70,0,0,0
0,0,8,74,73,0,0,0
0,0,9,74,76,0,0,0
0,0,10,74,79,0,0,0
0,0,11,74,82,0,0,0
0,0,12,74,85,0,0,0
0,0,13,74,88,0,0,0
0,0,14,74,91,0,0,0
0,0,15,77,91,0,0,0
0,0,16,77,88,0,0,0
0,0,17,77,85,0,0,0
0,0,18,77,82,0,0,0
0,0,19,77,79,0,0,0
0,0,20,77,76,0,0,0
0,0,21,77,73,0,0,0
0,0,22,77,70,0,0,0
0,0,23,77,67,0,0,0
0,0,24,77,64,0,0,0
0,0,25,77,61,0,0,0
0,0,26,77,58,0,0,0
0,0,27,77,55,0,0,0
0,0,28,77,52,0,0,0
0,0,29,77,49,0,0,0
0,0,30,80,49,0,0,0
0,0,31,80,52,0,0,0
0,0,32,80,55,0,0,0
0,0,33,80,58,0,0,0
0,0,34,80,61,0,0,0
0,0,35,80,64,0,0,0
0,0,36,80,67,0,0,0
0,0,37,80,70,0,0,0
0,0,38,80,73,0,0,0
0,0,39,80,76,0,0,0
0,0,40,80,79,0,0,0
0,0,41,80,82,0,0,0
0,0,42,80,85,0,0,0
0,0,43,80,88,0,0,0
0,0,44,80,91,0,0,0
0,0,45,83,91,0,0,0
0,0,46,83,88,0,0,0
0,0,47,83,85,0,0,0
0,0,48,83,82,0,0,0
0,0,49,83,79,0,0,0
0,0,50,83,76,0,0,0
0,0,51,83,73,0,0,0
0,0,52,83,70,0,0,0
0,0,53,83,67,0,0,0
0,0,54,83,64,0,0,0
0,0,55,83,61,0,0,0
0,0,56,83,58,0,0,0
0,0,57,83,55,0,0,0
0,0,58,83,52,0,0,0
0,0,59,83,49,0,0,0
0,0,60,86,49,0,0,0
0,0,61,86,52,0,0,0
0,0,62,86,55,0,0,0
0,0,63,86,58,0,0,0
0,0,64,86,61,0,0,0
