Device,Connector,Led,X,Y,Z,line,Type
0,0,0,130,369,0,2,0
0,0,1,130,372,0,2,0
0,0,2,130,375,0,2,0
0,0,3,130,378,0,2,0
0,0,4,130,381,0,2,0
0,0,5,130,384,0,2,0
0,0,6,130,387,0,2,0
0,0,7,130,390,0,2,0
0,0,8,130,393,0,2,0
0,0,9,130,396,0,2,0
0,0,10,125,200,0,1,0
0,0,11,125,203,0,1,0
0,0,12,125,206,0,1,0
0,0,13,122,206,0,1,0
0,0,14,122,209,0,1,0
0,0,15,125,209,0,1,0
0,0,16,125,212,0,1,0
0,0,17,122,212,0,1,0
0,0,18,119,215,0,1,0
0,0,19,122,215,0,1,0
0,0,20,125,215,0,1,0
0,0,21,125,218,0,1,0
0,0,22,122,218,0,1,0
0,0,23,119,218,0,1,0
0,0,24,116,221,0,1,0
0,0,25,119,221,0,1,0
0,0,26,122,221,0,1,0
0,0,27,125,221,0,1,0
0,0,28,125,224,0,1,0
0,0,29,122,224,0,1,0
0,0,30,119,224,0,1,0
0,0,31,116,224,0,1,0
0,0,32,116,227,0,1,0
0,0,33,119,227,0,1,0
0,0,34,122,227,0,1,0
0,0,35,125,227,0,1,0
0,0,36,125,230,0,1,0
0,0,37,122,230,0,1,0
0,0,38,119,230,0,1,0
0,0,39,116,230,0,1,0
0,0,40,113,230,0,1,0
0,0,41,113,233,0,1,0
0,0,42,116,233,0,1,0
0,0,43,119,233,0,1,0
0,0,44,122,233,0,1,0
0,0,45,125,233,0,1,0
0,0,46,125,236,0,1,0
0,0,47,122,236,0,1,0
0,0,48,119,236,0,1,0
0,0,49,116,236,0,1,0
0,0,50,113,236,0,1,0
0,0,51,110,239,0,1,0
0,0,52,113,239,0,1,0
0,0,53,116,239,0,1,0
0,0,54,119,239,0,1,0
0,0,55,122,239,0,1,0
0,0,56,125,239,0,1,0
0,0,57,125,242,0,1,0
0,0,58,122,242,0,1,0
0,0,59,119,242,0,1,0
0,0,60,116,242,0,1,0
0,0,61,113,242,0,1,0
0,0,62,110,242,0,1,0
0,0,63,110,245,0,1,0
0,0,64,113,245,0,1,0
0,0,65,116,245,0,1,0
0,0,66,119,245,0,1,0
0,0,67,122,245,0,1,0
0,0,68,125,245,0,1,0
0,0,69,125,248,0,1,0
0,0,70,122,248,0,1,0
0,0,71,119,248,0,1,0
0,0,72,116,248,0,1,0
0,0,73,113,248,0,1,0
0,0,74,110,248,0,1,0
0,0,75,107,248,0,1,0
0,0,76,107,251,0,1,0
0,0,77,110,251,0,1,0
0,0,78,113,251,0,1,0
0,0,79,116,251,0,1,0
0,0,80,119,251,0,1,0
0,0,81,122,251,0,1,0
0,0,82,125,251,0,1,0
0,0,83,125,254,0,1,0
0,0,84,122,254,0,1,0
0,0,85,119,254,0,1,0
0,0,86,116,254,0,1,0
0,0,87,113,254,0,1,0
0,0,88,110,254,0,1,0
0,0,89,107,254,0,1,0
0,0,90,104,257,0,1,0
0,0,91,107,257,0,1,0
0,0,92,110,257,0,1,0
0,0,93,113,257,0,1,0
0,0,94,116,257,0,1,0
0,0,95,119,257,0,1,0
0,0,96,122,257,0,1,0
0,0,97,125,257,0,1,0
0,0,98,125,260,0,1,0
0,0,99,122,260,0,1,0
0,0,100,119,260,0,1,0
0,0,101,116,260,0,1,0
0,0,102,113,260,0,1,0
0,0,103,110,260,0,1,0
0,0,104,107,260,0,1,0
0,0,105,104,260,0,1,0
0,0,106,104,263,0,1,0
0,0,107,107,263,0,1,0
0,0,108,110,263,0,1,0
0,0,109,113,263,0,1,0
0,0,110,116,263,0,1,0
0,0,111,119,263,0,1,0
0,0,112,122,263,0,1,0
0,0,113,125,263,0,1,0
0,0,114,125,266,0,1,0
0,0,115,122,266,0,1,0
0,0,116,119,266,0,1,0
0,0,117,116,266,0,1,0
0,0,118,113,266,0,1,0
0,0,119,110,266,0,1,0
0,0,120,107,266,0,1,0
0,0,121,104,266,0,1,0
0,0,122,101,266,0,1,0
0,0,123,101,269,0,1,0
0,0,124,104,269,0,1,0
0,0,125,107,269,0,1,0
0,0,126,110,269,0,1,0
0,0,127,113,269,0,1,0
0,0,128,116,269,0,1,0
0,0,129,119,269,0,1,0
0,0,130,122,269,0,1,0
0,0,131,125,269,0,1,0
0,0,132,125,272,0,1,0
0,0,133,122,272,0,1,0
